vpp_year,country,nat_auth,ref_no,cert_no,bin,sail_no,yacht_name,class,certificate_type,family,issue_date,first_seen_on,status,removed_on,certificate_url,performance_url
2025,AUS,AUS,03020003UHS,2612,2612,1236,LOCAL HERO,BH 36,INTL,ORC,2025-06-23T01:15:59.855Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003UHS.pdf,../../performance/?year=2025&country=AUS&ref=03020003UHS
2025,AUS,AUS,03020003U4Q,2092,2092,237,ERICA,Xp44,CLUB,ORC,2025-06-16T05:21:49.772Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4Q.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4Q
2025,AUS,AUS,03020003U4H,2443,2443,4601,Miss Manukau,LOTUS 950,CLUB,ORC,2025-06-16T03:07:15.619Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4H.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4H
2025,AUS,AUS,03020003U6T,220300,2203,4966,KING BILLY,KING 38 CUSTOM,INTL,ORC,2025-06-16T22:44:54.248Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U6T.pdf,../../performance/?year=2025&country=AUS&ref=03020003U6T
2025,AUS,AUS,03020003U42,4306,4306,52542,BLACK DIAMOND,Stallion 42,INTL,ORC,2025-06-15T23:48:18.894Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U42.pdf,../../performance/?year=2025&country=AUS&ref=03020003U42
2025,AUS,AUS,03020003UDV,2122,2122,6453,Starlight,Bavaria 35 Match,CLUB,ORC,2025-06-20T02:52:24.120Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003UDV.pdf,../../performance/?year=2025&country=AUS&ref=03020003UDV
2025,AUS,AUS,03020003U4O,2089,2089,6584,Kelsea Blue,C & C 115,CLUB,ORC,2025-06-16T05:06:24.482Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4O.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4O
2025,AUS,AUS,03020003U41,273600,2736,6755,CALIBAN II /GWM Pennant Hills,BENETEAU 47.7 WING,INTL,ORC,2025-06-15T23:43:21.733Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U41.pdf,../../performance/?year=2025&country=AUS&ref=03020003U41
2025,AUS,AUS,03020003U4V,2256,2256,7000,Juvenile Delinquent,Bavaria 38,CLUB,ORC,2025-06-16T06:43:15.163Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4V.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4V
2025,AUS,AUS,03020003U4K,2855,2855,7155,CHUTNEY MARY,ELAN S4,CLUB,ORC,2025-06-16T04:11:11.894Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4K.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4K
2025,AUS,AUS,03020003UE0,2558,2558,8383,KRAKATOA,YOUNG SUPER 30,CLUB,ORC,2025-06-20T03:12:58.571Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003UE0.pdf,../../performance/?year=2025&country=AUS&ref=03020003UE0
2025,AUS,AUS,03020003U4P,2928,2928,84001,VICTOIRE,CARKEEK 40,INTL,ORC,2025-06-16T05:12:37.401Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4P.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4P
2025,AUS,AUS,03020003U4A,2909,2909,8801,JOJI,J/88,CLUB,ORC,2025-06-16T01:06:05.305Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4A.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4A
2025,AUS,AUS,03020003U4M,7042,7042,A33,INVINCIBLE,FARR 1104,INTL,ORC,2025-06-16T04:31:09.987Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4M.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4M
2025,AUS,AUS,03020003U3V,2687,2687,A6,Flyaway Paul,SYDNEY 43,INTL,ORC,2025-06-15T23:17:07.482Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U3V.pdf,../../performance/?year=2025&country=AUS&ref=03020003U3V
2025,AUS,AUS,03020003SA7,4238,4238,AUS03,Noahs 2,Volvo 70,INTL,ORC,2025-05-23T04:54:50.937Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003SA7.pdf,../../performance/?year=2025&country=AUS&ref=03020003SA7
2025,AUS,AUS,03020003U4C,2883,2883,AUS204,Force 8,11 Metre,CLUB,ORC,2025-06-16T01:47:37.138Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4C.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4C
2025,AUS,AUS,03020003U46,3160,3160,b196,PHANTOM,ELLIOTT 9.6,CLUB,ORC,2025-06-16T00:18:36.020Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U46.pdf,../../performance/?year=2025&country=AUS&ref=03020003U46
2025,AUS,AUS,03020003UE5,4081,4081,B247,Amaya II,Farr 11.6 Mod,INTL,ORC,2025-06-20T03:54:15.364Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003UE5.pdf,../../performance/?year=2025&country=AUS&ref=03020003UE5
2025,AUS,AUS,03020003U4B,3336,3336,b385,MELL,Hanse 385,CLUB,ORC,2025-06-16T01:30:24.756Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4B.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4B
2025,AUS,AUS,03020003U4N,3101,3101,B63,SCHUSS,JPK 1180,CLUB,ORC,2025-06-16T04:58:19.589Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4N.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4N
2025,AUS,AUS,03020003U4S,3016,3016,G347,Dynamic,First 34.7,CLUB,ORC,2025-06-16T05:56:59.474Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4S.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4S
