vpp_year,country,nat_auth,ref_no,cert_no,bin,sail_no,yacht_name,class,certificate_type,family,issue_date,first_seen_on,status,removed_on,certificate_url,performance_url
2025,AUS,AUS,03020003U4I,3056,3056,H374,Pompette,Cavalier 350,CLUB,ORC,2025-06-16T03:27:06.954Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4I.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4I
2025,AUS,AUS,03020003U4R,7202,7202,OD40,PLAUSIBLE ALIBI,Farr 40 OD,CLUB,ORC,2025-06-16T05:48:33.294Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4R.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4R
2025,AUS,AUS,03020003UE2,3104,3104,R10,MAGGIE ISLAND BREWERY,ADAMS 10,CLUB,ORC,2025-06-20T03:38:11.647Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003UE2.pdf,../../performance/?year=2025&country=AUS&ref=03020003UE2
2025,AUS,AUS,03020003U4U,3054,3054,R18,Laurelle,Northshore 38,CLUB,ORC,2025-06-16T06:35:07.370Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4U.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4U
2025,AUS,AUS,03020003U3W,3327,3327,S9,Jungle Juice,Adams 10,CLUB,ORC,2025-06-15T23:28:06.087Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U3W.pdf,../../performance/?year=2025&country=AUS&ref=03020003U3W
2025,AUS,AUS,03020003UDU,3169,3169,SM 600,FUN AND GAMES,LIDGARD 35,CLUB,ORC,2025-06-20T02:43:09.587Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003UDU.pdf,../../performance/?year=2025&country=AUS&ref=03020003UDU
2025,AUS,AUS,03020003UI0,3381,3381,Sm136,RAGNAR,First 36,CLUB,ORC,2025-06-23T05:37:53.300Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003UI0.pdf,../../performance/?year=2025&country=AUS&ref=03020003UI0
2025,AUS,AUS,03020003U48,3351,3351,Sm288,INTRUSION,S80,CLUB,ORC,2025-06-16T00:46:54.777Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U48.pdf,../../performance/?year=2025&country=AUS&ref=03020003U48
2025,AUS,AUS,03020003U4F,7142,7142,Sm35,ARCHIE,A-35,CLUB,ORC,2025-06-16T02:52:08.290Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U4F.pdf,../../performance/?year=2025&country=AUS&ref=03020003U4F
2025,AUS,AUS,03020003U45,3320,3320,Sm4,WICKED,First 40,INTL,ORC,2025-06-16T00:10:54.303Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U45.pdf,../../performance/?year=2025&country=AUS&ref=03020003U45
2025,AUS,AUS,03020003U47,3043,3043,Sm5005,SHIMMER,Hanse 505,CLUB,ORC,2025-06-16T00:26:21.842Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003U47.pdf,../../performance/?year=2025&country=AUS&ref=03020003U47
2025,AUS,AUS,03020003UEB,278200,2782,Sm9006,BULLET,BULL 9000,CLUB,ORC,2025-06-20T06:25:59.934Z,2026-08-21,active,,https://data.orc.org/public/WPub.dll/CC/03020003UEB.pdf,../../performance/?year=2025&country=AUS&ref=03020003UEB
